454295971  5   1   1    451.84   6.48  31.82 0.24 120-sec   
  8579011  2   1   1    357.21   5.19  24.79 0.8  120-sec   
259886730  6   1   0    594.01  15.88  37.72 0.25 120-sec   
351604689  2   1   1    936.37  25.89  53.03 0.17 120-sec   
394125166  1   1   0    857.99  13.16  51.17 0.47 120-sec PH
 66604391  2   1   0   1016.06  30.39  50.87 0.31 120-sec   
234294089  2   1   1    477.37   9.61  29.76 0.21 120-sec   
264222470 14   1   1    349.89   7.26  23.52 0.3  120-sec   
 20291359  2   1   1    678.37  16.9   43.32 0.8  120-sec   
116384247  3   1   0    637.58   9.95  42.27 0.53 120-sec   
161058722  2   1   1    533.77  11.24  44.87 1.32 120-sec   
270494569  8   1   0    396.43   5.79  27.43 0.23 120-sec   
 14088139  2   1   0    745.66  20.15  57.95 1.0  120-sec   
293807888  8   1   0    942.03  19.27  53.03 0.33 120-sec   
157364190  1   1   1   1020.64  14.86  60.34 0.22 120-sec   
350585437 25   1   1    254.71   2.46  18.82 0.11 120-sec   
300444376 24   1   0    423.75   3.95  28.23 0.29 120-sec   
462666639  2   0   1    909.4   46.75  49.99 0.45 120-sec   
350295877 23   1   0    827.54  12.45  45.1  0.12 120-sec   
150166759 25   1   1    210.05   1.48  16.05 0.06 120-sec   
149390710 25   1   1    324.89   2.46  23.78 0.1  120-sec   
447823435  4   1   0   1172.66  25.67  59.12 0.0  120-sec   
177241155 24   1   0    203.21   2.46  16.2  0.12 120-sec   
287717402 11   1   0    741.33   5.86  43.75 0.47 120-sec   
287140025 15   1   0    305.7    4.44  21.87 0.23 120-sec   
272548575 10   1   1    469.03   5.44  31.25 0.41 120-sec   
374858999 24   1   0    468.93   7.95  29.36 0.31 120-sec   
 33861444 25   1   1    407.32   2.5   27.43 0.14 120-sec   
350343922 25   1   1    268.7    1.98  19.44 0.07 120-sec   
 29987134 25   1   0    823.57  10.88  45.81 0.25 120-sec   
441743003 11   0   1    875.92  34.48  48.88 4.72 120-sec SB9
150393198 25   1   1    196.42   1.5   15.24 0.08 120-sec   
356111938 15   1   1    403.42   8.39  27.78 0.32 120-sec   
170225363  5   1   0   1376.25  47.74  69.44 0.29 120-sec   
233622256 13   1   1    302.3   10.15  21.5  0.32 120-sec   
150062447 23   1   1    632.13   5.42  39.77 0.19 120-sec   
456105736  2   1   1    360.0    6.42  22.67 0.25 120-sec   
160180201  2   1   0    483.04   9.34  35.0  1.2  120-sec   
270370117  1   1   1    260.15   7.23  20.3  0.56 120-sec   
348717322  3   1   1    213.34   4.75  18.08 0.37 120-sec   
353817853 10   1   0    399.53  11.99  25.44 1.06 120-sec   
169396790  2   1   0    921.62  19.28  50.29 0.31 120-sec   
160396180  8   1   0    265.28   5.79  18.27 0.12 120-sec   
345576432  1   1   1    266.36  14.42  20.68 0.31 120-sec   
258389994 14   1   1    215.41   2.9   16.11 0.06 120-sec   
 73249548  1   1   0    261.01   6.6   18.15 0.41 120-sec   
290486155  2   1   1    440.53   8.63  27.69 0.55 120-sec   
396140626  1   1   1    213.57   9.11  15.51 0.8  120-sec   
241266334  1   1   1    289.44   7.97  20.59 0.35 120-sec   
376562826  3   0   1    556.97  16.05  41.47 2.39 120-sec   
404264731  2   1   1    331.22  10.83  23.65 0.13 120-sec   
425934616  3   1   1    374.4   13.45  22.79 1.49 120-sec   
141908244  3   1   0    516.9   14.26  31.36 0.35 120-sec   
260655847 25   1   0    782.74   6.88  48.08 0.28 120-sec   
  1141694  1   1   1    287.22   4.7   21.03 0.35 120-sec   
251269189  1   1   1    258.36   6.64  19.35 0.18 120-sec   
236309498  1   1   1    490.11  10.93  33.27 0.33 120-sec   
340221807  3   1   1    757.22  11.3   44.87 0.24 120-sec   
 38450141  1   0   1    321.97  12.21  20.21 2.97 120-sec   
  5630507  2   1   1    148.88   3.34  11.59 0.07 120-sec   
334853448  3   1   1    224.58   2.63  16.29 0.16 120-sec   
158621052  3   1   1    314.44   5.42  22.26 0.09 120-sec   
464397880  2   1   1    463.17   6.26  29.86 0.16 120-sec   
142109390 24   1   1    383.12   4.48  25.44 0.12 120-sec   
 47336943  1   1   1    494.77  16.05  29.07 0.46 120-sec   
219234328  6   1   0    506.64   7.5   32.77 0.2  120-sec   
300088321 25   1   1   1187.88  19.72  64.81 0.51 120-sec   
192944805  1   1   1    292.51  11.52  20.16 0.29 120-sec   
270627594 16   1   1    392.85   4.44  27.17 0.27 120-sec   
 23326990  1   1   1    388.89  10.54  34.05 0.76 120-sec   
260823248  3   1   0    656.43  11.23  41.08 0.4  120-sec   
383716275  2   1   1    401.36  14.52  26.36 0.34 120-sec   
148336184  2   1   1    293.02  11.62  20.63 0.21 120-sec   
