ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
TIC384881668,TESS,TESS/TIC384881668.pow,946.0,76.0,52.0,1.6,,120.0,0.5818734,0.1,10
TIC38511251,TESS,TESS/TIC38511251.pow,677.0,8.0,41.5,0.8,,120.0,1.1661985,0.1,10
TIC387541497,TESS,TESS/TIC387541497.pow,1184.0,42.0,62.4,1.7,6526.0,120.0,0.61441326,0.1,10
TIC389757979,TESS,TESS/TIC389757979.pow,1890.0,163.0,91.1,2.0,6229.0,120.0,0.66950846,0.1,10
TIC390733496,TESS,TESS/TIC390733496.pow,1785.0,51.0,86.0,1.4,6417.0,120.0,0.607996,0.1,10
TIC392326236,TESS,TESS/TIC392326236.pow,1051.0,79.0,58.1,1.6,5821.0,120.0,0.75782394,0.1,10
TIC403585118,TESS,TESS/TIC403585118.pow,3174.0,201.0,138.5,2.8,5905.0,120.0,0.77145576,0.1,10
TIC40535161,TESS,TESS/TIC40535161.pow,1282.0,51.0,67.4,1.8,6198.0,120.0,0.7103176,0.1,10
TIC405902259,TESS,TESS/TIC405902259.pow,1353.0,146.0,69.2,2.3,6518.0,120.0,0.5734205,0.1,10
TIC408842743,TESS,TESS/TIC408842743.pow,1831.0,304.0,89.2,1.7,6070.0,120.0,0.7170954,0.1,10
TIC409104974,TESS,TESS/TIC409104974.pow,2151.0,54.0,100.6,0.8,5915.0,120.0,0.79079056,0.1,10
TIC409891396,TESS,TESS/TIC409891396.pow,2269.0,64.0,107.9,0.2,,120.0,1.0192785,0.1,10
TIC41195655,TESS,TESS/TIC41195655.pow,702.0,44.0,40.6,1.2,5312.0,120.0,1.0455055,0.1,10
TIC416519065,TESS,TESS/TIC416519065.pow,2319.0,96.0,105.0,2.1,6157.0,120.0,0.700737,0.1,10
TIC418010485,TESS,TESS/TIC418010485.pow,694.0,21.0,41.6,1.2,,120.0,0.71075535,0.1,10
TIC419919445,TESS,TESS/TIC419919445.pow,1416.0,53.0,75.3,0.6,6260.0,120.0,0.7051301,0.1,10
TIC419994887,TESS,TESS/TIC419994887.pow,1667.0,51.0,83.4,0.9,6018.0,120.0,0.75359344,0.1,10
TIC421444084,TESS,TESS/TIC421444084.pow,958.0,22.0,53.6,0.4,6197.0,120.0,0.71885467,0.1,10
TIC422478973,TESS,TESS/TIC422478973.pow,3099.0,100.0,138.6,1.3,5543.0,120.0,0.898438,0.1,10
TIC422679659,TESS,TESS/TIC422679659.pow,1248.0,86.0,67.4,2.1,6079.0,120.0,0.7556186,0.1,10
TIC42334982,TESS,TESS/TIC42334982.pow,1117.0,116.0,59.9,0.9,6011.0,120.0,0.73482513,0.1,10
TIC425935521,TESS,TESS/TIC425935521.pow,2744.0,148.0,125.6,0.5,5849.0,120.0,0.76927614,0.1,10
TIC429149606,TESS,TESS/TIC429149606.pow,1413.0,112.0,70.8,1.4,6140.0,120.0,0.7056055,0.1,10
TIC431380163,TESS,TESS/TIC431380163.pow,1685.0,75.0,79.7,1.7,6579.0,120.0,0.58502483,0.1,10
TIC43255143,TESS,TESS/TIC43255143.pow,718.0,24.0,40.0,1.0,,120.0,0.9015522,0.1,10
TIC437886584,TESS,TESS/TIC437886584.pow,2115.0,156.0,99.6,1.6,6642.0,120.0,0.5920458,0.1,10
TIC441709021,TESS,TESS/TIC441709021.pow,1353.0,108.0,68.9,1.5,6000.0,120.0,0.6969216,0.1,10
TIC441804568,TESS,TESS/TIC441804568.pow,1232.0,19.0,61.8,0.3,6459.0,120.0,0.6082969,0.1,10
TIC441813918,TESS,TESS/TIC441813918.pow,705.0,6.0,42.1,0.1,6078.0,120.0,0.6902814,0.1,10
TIC445258206,TESS,TESS/TIC445258206.pow,2839.0,80.0,128.0,0.4,,120.0,0.8868861,0.1,10
TIC446006789,TESS,TESS/TIC446006789.pow,1075.0,26.0,59.7,0.6,5848.0,120.0,0.8111644,0.1,10
TIC447823435,TESS,TESS/TIC447823435.pow,1080.0,42.0,58.9,0.4,6132.0,120.0,0.6904063,0.1,10
TIC452700589,TESS,TESS/TIC452700589.pow,1213.0,67.0,62.3,1.8,,120.0,0.63430834,0.1,10
TIC453144504,TESS,TESS/TIC453144504.pow,591.0,29.0,35.0,1.2,6054.0,120.0,0.6934862,0.1,10
TIC454082369,TESS,TESS/TIC454082369.pow,3148.0,188.0,137.3,1.5,5598.0,120.0,0.85635567,0.1,10
TIC456061659,TESS,TESS/TIC456061659.pow,843.0,37.0,47.1,1.9,6369.0,120.0,0.65644073,0.1,10
TIC456871289,TESS,TESS/TIC456871289.pow,618.0,27.0,33.5,1.2,6002.0,120.0,0.70429325,0.1,10
TIC458445966,TESS,TESS/TIC458445966.pow,2385.0,136.0,117.4,1.1,5782.0,120.0,0.7944677,0.1,10
TIC458494003,TESS,TESS/TIC458494003.pow,1664.0,99.0,87.4,1.7,5763.0,120.0,0.79895544,0.1,10
TIC459250741,TESS,TESS/TIC459250741.pow,929.0,40.0,51.3,1.4,6182.0,120.0,0.711524,0.1,10
TIC460022840,TESS,TESS/TIC460022840.pow,631.0,15.0,37.6,1.5,5767.0,120.0,0.8200879,0.1,10
TIC460067868,TESS,TESS/TIC460067868.pow,1192.0,17.0,63.8,0.2,,120.0,1.0220034,0.1,10
TIC462666639,TESS,TESS/TIC462666639.pow,869.0,28.0,49.2,0.9,6216.0,120.0,0.6672206,0.1,10
TIC463794734,TESS,TESS/TIC463794734.pow,1143.0,32.0,61.1,1.8,6500.0,120.0,0.6431947,0.1,10
TIC467957174,TESS,TESS/TIC467957174.pow,1260.0,167.0,66.1,1.6,6384.0,120.0,0.62050533,0.1,10
TIC46802551,TESS,TESS/TIC46802551.pow,691.0,19.0,38.3,1.5,5732.0,120.0,0.8492856,0.1,10
TIC48194330,TESS,TESS/TIC48194330.pow,752.0,11.0,43.5,0.3,5317.0,120.0,1.0035467,0.1,10
TIC49845357,TESS,TESS/TIC49845357.pow,1267.0,99.0,69.5,1.6,6266.0,120.0,0.722445,0.1,10
TIC52160996,TESS,TESS/TIC52160996.pow,973.0,28.0,57.4,1.6,6294.0,120.0,0.6542125,0.1,10
TIC56939464,TESS,TESS/TIC56939464.pow,586.0,29.0,34.8,1.3,5988.0,120.0,0.6963544,0.1,10
TIC58445695,TESS,TESS/TIC58445695.pow,1484.0,36.0,78.6,1.5,6179.0,120.0,0.64211273,0.1,10
TIC6029884,TESS,TESS/TIC6029884.pow,644.0,24.0,36.2,0.8,6347.0,120.0,0.7148588,0.1,10
TIC60716322,TESS,TESS/TIC60716322.pow,986.0,16.0,57.3,0.5,6173.0,120.0,0.7022927,0.1,10
TIC66604391,TESS,TESS/TIC66604391.pow,913.0,40.0,50.9,0.9,6363.0,120.0,0.6373739,0.1,10
TIC6677245,TESS,TESS/TIC6677245.pow,1139.0,35.0,59.3,1.0,5734.0,120.0,0.7366185,0.1,10
TIC67772871,TESS,TESS/TIC67772871.pow,3433.0,368.0,131.9,3.1,5099.0,120.0,1.0412455,0.1,10
TIC70847587,TESS,TESS/TIC70847587.pow,1871.0,138.0,91.2,2.0,6393.0,120.0,0.6093993,0.1,10
TIC72814920,TESS,TESS/TIC72814920.pow,1172.0,23.0,61.5,0.3,5772.0,120.0,0.83737993,0.1,10
TIC77549389,TESS,TESS/TIC77549389.pow,1572.0,44.0,75.4,1.4,6255.0,120.0,0.6165037,0.1,10
TIC79015105,TESS,TESS/TIC79015105.pow,1631.0,59.0,81.1,1.6,6192.0,120.0,0.65693474,0.1,10
TIC80226651,TESS,TESS/TIC80226651.pow,2436.0,418.0,109.8,1.3,5852.0,120.0,0.7730403,0.1,10
TIC8154501,TESS,TESS/TIC8154501.pow,1028.0,108.0,55.2,1.6,6208.0,120.0,0.6865792,0.1,10
TIC86177169,TESS,TESS/TIC86177169.pow,1514.0,29.0,77.6,0.6,,120.0,0.7859659,0.1,10
TIC88405751,TESS,TESS/TIC88405751.pow,402.0,7.0,27.8,0.4,5018.0,120.0,1.0353713,0.1,10
TIC88523071,TESS,TESS/TIC88523071.pow,1128.0,47.0,61.0,0.9,6187.0,120.0,0.7217684,0.1,10
TIC91686663,TESS,TESS/TIC91686663.pow,2583.0,99.0,122.3,0.9,5868.0,120.0,0.77283525,0.1,10
TIC93280676,TESS,TESS/TIC93280676.pow,2257.0,50.0,102.0,0.9,6292.0,120.0,0.7528229,0.1,10
TIC95360265,TESS,TESS/TIC95360265.pow,985.0,54.0,54.3,0.9,5702.0,120.0,0.8331976,0.1,10
TIC95360514,TESS,TESS/TIC95360514.pow,2027.0,100.0,104.4,1.4,6046.0,120.0,0.6894002,0.1,10
TIC95431211,TESS,TESS/TIC95431211.pow,1405.0,57.0,75.1,2.3,6508.0,120.0,0.6203766,0.1,10
TIC95473936,TESS,TESS/TIC95473936.pow,940.0,12.0,51.5,1.0,5516.0,120.0,0.91291237,0.1,10
TIC96745915,TESS,TESS/TIC96745915.pow,1476.0,42.0,71.1,1.7,6582.0,120.0,0.58799124,0.1,10
TIC9728611,TESS,TESS/TIC9728611.pow,2241.0,85.0,106.2,1.0,5669.0,120.0,0.8206105,0.1,10
TIC97402436,TESS,TESS/TIC97402436.pow,2112.0,145.0,92.8,1.8,6371.0,120.0,0.64425135,0.1,10
